brand_name,location_name,address,latitude,longitude,bounding_box
,Pachena Point Light,,48.722113,-125.097563,"[-125.09756469726562, 48.72210693359375, -125.09754943847656, 48.72211456298828]"
,"Black River (vattendrag i Kanada, British Columbia)",,48.73177,-125.11248,"[-125.11248016357422, 48.73176956176758, -125.11246490478516, 48.73177719116211]"
,Mabens Beach,,48.75866311,-125.12696135,"[-125.1269760131836, 48.7586555480957, -125.12696075439453, 48.758663177490234]"
,Pacific Rim National Park,,48.76305770874,-125.12013244629,"[-125.12014770507812, 48.7630500793457, -125.12013244628906, 48.763057708740234]"
,Darling River (vattendrag i Kanada),,48.72347,-125.05171,"[-125.05171203613281, 48.72346878051758, -125.05169677734375, 48.72347640991211]"
,Michigan Creek (vattendrag i Kanada),,48.72596,-125.07119,"[-125.07120513916016, 48.72595977783203, -125.0711898803711, 48.72596740722656]"
,Orange Juice Creek,,48.72098,-125.03695,"[-125.0369644165039, 48.72097396850586, -125.03694915771484, 48.72098159790039]"
,Tsocowis Creek,,48.71682854,-125.0147695,"[-125.0147705078125, 48.716827392578125, -125.01475524902344, 48.716835021972656]"
,Billy Goat Creek (vattendrag i Kanada),,48.71203,-125.0057,"[-125.0057144165039, 48.71202850341797, -125.00569915771484, 48.7120361328125]"
,Little Tsusiat Lake,,48.69597765,-124.91556272,"[-124.91556549072266, 48.69597625732422, -124.9155502319336, 48.69598388671875]"
,Tsusiat River,,48.69294,-124.92103,"[-124.9210433959961, 48.69293975830078, -124.92102813720703, 48.69294738769531]"
,Klanawa River,,48.70009455,-124.94825173,"[-124.9482650756836, 48.70008850097656, -124.94824981689453, 48.700096130371094]"
,Trestle Creek,,48.70541,-124.97807,"[-124.97807312011719, 48.70540237426758, -124.97805786132812, 48.70541000366211]"
,Valencia Bluffs,,48.70167,-124.97326,"[-124.97327423095703, 48.701663970947266, -124.97325897216797, 48.7016716003418]"
,Clo-oose Creek,,48.66265,-124.82477,"[-124.82478332519531, 48.66264343261719, -124.82476806640625, 48.66265106201172]"
,Cheewhat River,,48.66272226,-124.81040054,"[-124.8104019165039, 48.662715911865234, -124.81038665771484, 48.662723541259766]"
,West Coast Trail,"Vancouver Island, British Columbia",48.661267418864,-124.81142520905,"[-124.81143951416016, 48.6612663269043, -124.8114242553711, 48.66127395629883]"
,Claoose Indian Reserve 4,,48.66628,-124.83605,"[-124.83605194091797, 48.66627883911133, -124.8360366821289, 48.66628646850586]"
,Stanley Beach (strand i Kanada),,48.66418,-124.83968,"[-124.83968353271484, 48.6641731262207, -124.83966827392578, 48.664180755615234]"
,Nitinat Narrows,,48.66888987,-124.8518077,"[-124.85182189941406, 48.668888092041016, -124.851806640625, 48.66889572143555]"
,Cannery Bay,,48.68933547,-124.85065394,"[-124.85065460205078, 48.689334869384766, -124.85063934326172, 48.6893424987793]"
,Tsuquadra Point,,48.67592,-124.88275,"[-124.88275146484375, 48.67591857910156, -124.88273620605469, 48.675926208496094]"
,Tsusiat Point,West Coast Trail,48.68154735,-124.91092764,"[-124.91094207763672, 48.681541442871094, -124.91092681884766, 48.681549072265625]"
,Tsusiat Lake,,48.71611,-124.88222,"[-124.88223266601562, 48.716102600097656, -124.88221740722656, 48.71611022949219]"
,Squalicum Lake (sjö i Kanada),,48.73972,-124.8125,"[-124.8125, 48.73971939086914, -124.8125, 48.73972702026367]"
,Little Squalicum Lake,,48.71633107,-124.84270736,"[-124.84272003173828, 48.71632385253906, -124.84270477294922, 48.716331481933594]"
,Hobiton Lake,,48.7560619,-124.79987785,"[-124.79988098144531, 48.75606155395508, -124.79986572265625, 48.75606918334961]"
