brand_name,number_of_locations,categories
CAFE,274,food_and_drink > casual_eatery > cafe
Canada Post,220,services_and_business > shipping_or_delivery_service > post_office
RBC,134,services_and_business > financial_service > bank_or_credit_union
TD,127,services_and_business > financial_service > bank_or_credit_union
Starbucks,106,food_and_drink > non_alcoholic_beverage_venue > coffee_shop
RE/MAX,100,services_and_business > real_estate_service > real_estate_agent
Subway,99,food_and_drink > casual_eatery > sandwich_shop
Impark,93,travel_and_transportation > parking
BMO,81,services_and_business > financial_service > atm
Barbershop,80,lifestyle_services > personal_or_beauty_service > barber
CIBC,78,services_and_business > financial_service > bank_or_credit_union > bank
Scotiabank,78,services_and_business > financial_service > bank_or_credit_union > bank
Royal LePage,70,services_and_business > real_estate_service > real_estate_agent
Western Union,65,services_and_business > financial_service
U-Haul,64,services_and_business > real_estate > real_estate_service > rental_service > vehicle_rental_service > truck_rental_service
LifeLabs,63,health_care > outpatient_care_facility > diagnostics_imaging_or_lab_service > diagnostic_imaging
Tim Hortons Cafe and Bake Shop,63,food_and_drink > non_alcoholic_beverage_venue > coffee_shop
7-Eleven,59,shopping > convenience_store
Petro-Canada,59,travel_and_transportation > fueling_station > gas_station
Indigo,51,travel_and_transportation > parking
McDonald's,50,food_and_drink > casual_eatery > fast_food_restaurant
aProperties,50,services_and_business > real_estate_service
H&R Block,47,services_and_business > financial_service > trusts
Pharmasave,46,shopping > specialty_store > pharmacy_and_drug_store > pharmacy
Shell,46,travel_and_transportation > fueling_station > gas_station
BC Liquor Store,45,shopping > food_and_beverage_store > liquor_store
FLO,42,travel_and_transportation > fueling_station > ev_charging_station
Shoppers Drug Mart,41,shopping > specialty_store > pharmacy_and_drug_store > pharmacy
McCafé,39,food_and_drink > non_alcoholic_beverage_venue > coffee_shop
A&W Canada,37,food_and_drink > restaurant > meat_restaurant > burger_restaurant
Co-op,36,travel_and_transportation > fueling_station > gas_station
Esso,36,travel_and_transportation > fueling_station > gas_station
Localcoin,35,services_and_business > financial_service > atm
Rogers,35,shopping > specialty_store > electronics_store > mobile_phone_store
A&W,32,food_and_drink > casual_eatery > fast_food_restaurant
Save-On-Foods,31,shopping > food_and_beverage_store > grocery_store
Chiropratica,30,health_care > outpatient_care_facility > complementary_and_alternative_medicine > chiropractic
Freshslice Pizza,30,food_and_drink > restaurant > european_restaurant > mediterranean_restaurant > italian_restaurant > pizza_restaurant
I.D.A.,30,shopping > specialty_store > pharmacy_and_drug_store > pharmacy
UPS,30,services_and_business > shipping_or_delivery_service > courier_and_delivery_service
Connect Hearing,29,shopping > specialty_store > medical_supply_store
W consulting,29,services_and_business > professional_service
Bistrot,28,food_and_drink > restaurant
Bosley's by Pet Valu,28,shopping > specialty_store > animal_and_pet_store > pet_store
NexGen Hearing,28,health_care > outpatient_care_facility > specialized_health_care > ear_nose_and_throat > audiology
On the Run,28,shopping > convenience_store
Westland Insurance,28,services_and_business > financial_service > insurance_agency
Dairy Queen,27,food_and_drink > casual_eatery > fast_food_restaurant
Diamond Parking,27,travel_and_transportation > parking
Home Hardware,27,shopping > specialty_store > hardware_home_and_garden_store > hardware_store
