place_id,location_name,address,latitude,longitude,original_place_bbox,building_id,building_bbox,final_bbox,bbox_method,building_area_m2
662979bf-bbcc-46de-9fb7-728d9e70089a,Michigan Creek (vattendrag i Kanada),,48.72596,-125.07119,"[-125.07120513916016, 48.72595977783203, -125.0711898803711, 48.72596740722656]",,,"[-125.07120513916016, 48.72595977783203, -125.0711898803711, 48.72596740722656]",original_place,
06f0b249-ee77-4366-a02d-347739c3838b,Pachena Point Light,,48.722113,-125.097563,"[-125.09756469726562, 48.72210693359375, -125.09754943847656, 48.72211456298828]",,,"[-125.09756469726562, 48.72210693359375, -125.09754943847656, 48.72211456298828]",original_place,
e01b9e9d-2cf9-4147-b98e-d57e658057af,"Black River (vattendrag i Kanada, British Columbia)",,48.73177,-125.11248,"[-125.11248016357422, 48.73176956176758, -125.11246490478516, 48.73177719116211]",,,"[-125.11248016357422, 48.73176956176758, -125.11246490478516, 48.73177719116211]",original_place,
373d81f9-7672-436f-82b9-5f35d77bc6f8,Mabens Beach,,48.75866311,-125.12696135,"[-125.1269760131836, 48.7586555480957, -125.12696075439453, 48.758663177490234]",,,"[-125.1269760131836, 48.7586555480957, -125.12696075439453, 48.758663177490234]",original_place,
00224d36-647f-4400-9e48-4e6f1483fd49,Pacific Rim National Park,,48.76305770874,-125.12013244629,"[-125.12014770507812, 48.7630500793457, -125.12013244628906, 48.763057708740234]",,,"[-125.12014770507812, 48.7630500793457, -125.12013244628906, 48.763057708740234]",original_place,
ae13bf95-7032-4fb4-b939-5306a31bb92c,Tsocowis Creek,,48.71682854,-125.0147695,"[-125.0147705078125, 48.716827392578125, -125.01475524902344, 48.716835021972656]",,,"[-125.0147705078125, 48.716827392578125, -125.01475524902344, 48.716835021972656]",original_place,
176d25c5-8499-434f-88a2-4fdc7603006b,Darling River (vattendrag i Kanada),,48.72347,-125.05171,"[-125.05171203613281, 48.72346878051758, -125.05169677734375, 48.72347640991211]",,,"[-125.05171203613281, 48.72346878051758, -125.05169677734375, 48.72347640991211]",original_place,
1c06c0e9-e758-4558-9031-5719b8d58af8,Orange Juice Creek,,48.72098,-125.03695,"[-125.0369644165039, 48.72097396850586, -125.03694915771484, 48.72098159790039]",,,"[-125.0369644165039, 48.72097396850586, -125.03694915771484, 48.72098159790039]",original_place,
71e4787f-7e2d-433e-b28d-3c415626af30,Billy Goat Creek (vattendrag i Kanada),,48.71203,-125.0057,"[-125.0057144165039, 48.71202850341797, -125.00569915771484, 48.7120361328125]",,,"[-125.0057144165039, 48.71202850341797, -125.00569915771484, 48.7120361328125]",original_place,
f3c245fc-7952-44dd-91bd-6ae40168f9dc,Trestle Creek,,48.70541,-124.97807,"[-124.97807312011719, 48.70540237426758, -124.97805786132812, 48.70541000366211]",,,"[-124.97807312011719, 48.70540237426758, -124.97805786132812, 48.70541000366211]",original_place,
